AAR2,Predicted intracellular proteins
ABHD12,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ABHD16B,"Plasma proteins, Predicted intracellular proteins"
ACOT8,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACSS1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSS2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACTL10,Predicted secreted proteins
ACTR5,Predicted intracellular proteins
ADA,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ADAM33,"Disease related genes, Predicted membrane proteins, Predicted secreted proteins"
ADIG,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ADNP,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
ADRA1D,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADRM1,Predicted intracellular proteins
AHCY,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ANGPT4,"Predicted secreted proteins, RAS pathway related proteins"
ANKEF1,Predicted intracellular proteins
ANKRD60,Predicted secreted proteins
AP5S1,"Predicted intracellular proteins, Predicted membrane proteins"
APCDD1L,"Predicted intracellular proteins, Predicted membrane proteins"
APMAP,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ARFGAP1,"Plasma proteins, Predicted intracellular proteins"
ARFGEF2,"Disease related genes, Predicted intracellular proteins"
ARFRP1,Predicted intracellular proteins
ARHGAP40,Predicted intracellular proteins
ASIP,Predicted secreted proteins
ASXL1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
ATP5F1E,NA
ATP9A,"Enzymes, Predicted membrane proteins, Transporters"
ATRN,"Plasma proteins, Predicted membrane proteins"
AURKA,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
AVP,"Disease related genes, Predicted secreted proteins"
B4GALT5,Predicted secreted proteins
BANF2,Predicted intracellular proteins
BCAS1,Predicted intracellular proteins
BCAS4,"Disease related genes, Predicted intracellular proteins"
BCL2L1,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"
BFSP1,"Disease related genes, Predicted intracellular proteins"
BHLHE23,"Predicted intracellular proteins, Transcription factors"
BIRC7,"Enzymes, Predicted intracellular proteins"
BLCAP,Predicted intracellular proteins
BMP2,"Cancer-related genes, Predicted secreted proteins"
BMP7,"Predicted intracellular proteins, Predicted secreted proteins"
BPI,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
BPIFA1,"Plasma proteins, Predicted secreted proteins"
BPIFA2,Predicted secreted proteins
BPIFA3,Predicted secreted proteins
BPIFB1,"Plasma proteins, Predicted secreted proteins"
BPIFB2,"Plasma proteins, Predicted secreted proteins, Transporters"
BPIFB3,"Plasma proteins, Predicted secreted proteins"
BPIFB4,Predicted secreted proteins
BPIFB6,Predicted secreted proteins
BTBD3,Predicted intracellular proteins
C20orf27,Predicted intracellular proteins
C20orf85,Predicted intracellular proteins
C20orf96,Predicted intracellular proteins
C20orf141,Predicted membrane proteins
C20orf144,Predicted intracellular proteins
C20orf173,Predicted intracellular proteins
C20orf194,Predicted intracellular proteins
C20orf196,Predicted intracellular proteins
C20orf202,Predicted intracellular proteins
C20orf203,NA
C20orf204,NA
CABLES2,"Predicted intracellular proteins, Predicted membrane proteins"
CASS4,"Plasma proteins, Predicted intracellular proteins"
CBFA2T2,"Disease related genes, Predicted intracellular proteins"
CBLN4,"Plasma proteins, Predicted secreted proteins"
CCM2L,"Plasma proteins, Predicted intracellular proteins"
CD40,"Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins"
CD93,"CD markers, Plasma proteins, Predicted membrane proteins"
CDC25B,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
CDH4,Predicted membrane proteins
CDH22,Predicted membrane proteins
CDH26,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
CDK5RAP1,Predicted intracellular proteins
CDS2,"Enzymes, Plasma proteins, Predicted membrane proteins"
CEBPB,"Predicted intracellular proteins, Transcription factors"
CENPB,Predicted intracellular proteins
CEP250,"Plasma proteins, Predicted intracellular proteins"
CFAP61,"Predicted intracellular proteins, Predicted membrane proteins"
CHD6,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
CHGB,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
CHMP4B,"Disease related genes, Predicted intracellular proteins"
CHRNA4,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"
CNBD2,Predicted intracellular proteins
COL9A3,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
COL20A1,"Predicted intracellular proteins, Predicted secreted proteins"
COMMD7,Predicted intracellular proteins
COX4I2,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
CPNE1,"Plasma proteins, Predicted intracellular proteins"
CPXM1,"Enzymes, Predicted secreted proteins"
CRLS1,"Enzymes, Predicted membrane proteins"
CRNKL1,"Plasma proteins, Predicted intracellular proteins"
CSE1L,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"
